"source_record_id","geometry_quality_tier","source_point_available","edge100_snap_distance_band","edge100_core_eligible","edge150_sensitivity_available","observed_length_available","actual_alongshore_geometry_constructed","safe_primary_complex_id","provisional_2km_7d_complex_id","antichain_complex_id","support_label"
"hsr_b007ae891104bff7","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b007ae891104bff7","compl_b8a115382a6a31ff","ac2_47554b1b61ada92b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e1aadb415d329de3","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e1aadb415d329de3","compl_1ee4e2aa9b9b806a","ac2_21c1c53c39193bf1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_9dfe55adef764c4c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_9dfe55adef764c4c","compl_1ee4e2aa9b9b806a","ac2_21c1c53c39193bf1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_97e65c3771368abd","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_97e65c3771368abd","compl_9fa31ceb94062c73","ac2_cd7817f14093b9cc","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_8cf167ebeb026dbd","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_8cf167ebeb026dbd","compl_9fa31ceb94062c73","ac2_cd7817f14093b9cc","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_6dcd8290975a847b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_6dcd8290975a847b","compl_9fa31ceb94062c73","ac2_cd7817f14093b9cc","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_3622ade02be61849","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_3622ade02be61849","compl_9fa31ceb94062c73","ac2_cd7817f14093b9cc","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_1e693729d6c2074c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_1e693729d6c2074c","compl_1ee4e2aa9b9b806a","ac2_21c1c53c39193bf1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_8402d069333d6b16","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_8402d069333d6b16","compl_1ee4e2aa9b9b806a","ac2_21c1c53c39193bf1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_896b0a8860f93122","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_896b0a8860f93122","compl_021b42513ba04bfa","ac2_63bcf519e0c08ab3","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_414fdc3bd37dcc5e","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_414fdc3bd37dcc5e","compl_8e86f9f07812d8f6","ac2_0b4b0b1b802c6901","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_78b0fc05c0551d1f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_78b0fc05c0551d1f","compl_021b42513ba04bfa","ac2_63bcf519e0c08ab3","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_ea3fd3ef3e5b9172","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_ea3fd3ef3e5b9172","compl_021b42513ba04bfa","ac2_63bcf519e0c08ab3","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_c33596a1a6b0ed06","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_c33596a1a6b0ed06","compl_f088a6f07b24e2f7","ac2_c65ebe6f2b9d008b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_86c34cf80bb84bc5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_86c34cf80bb84bc5","compl_d54243e55cc0f630","ac2_e4509f04bbbd3cc1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_b8f96b2b81e12885","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b8f96b2b81e12885","compl_021b42513ba04bfa","ac2_63bcf519e0c08ab3","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_ef173754acce5689","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_ef173754acce5689","compl_05129c67216d56ef","ac2_e4bc25b25163c64f","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_0bfd3b97db2f39f6","C",TRUE,"over_5km",FALSE,TRUE,FALSE,FALSE,"hsr_0bfd3b97db2f39f6","compl_5b90ac0d1ee9aef0","ac2_482f5a714ddadc03","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_19a1dbc185a57bf0","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_19a1dbc185a57bf0","compl_3cda732730ad5e42","ac2_a1f94f362b7f1121","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_fd2c0efe86630d3c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_fd2c0efe86630d3c","compl_821f6034d620cb30","ac2_935d39bcb2a3c339","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_b0f6f84db7fc161b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b0f6f84db7fc161b","compl_312bc65c4e229dbd","ac2_0ff216b7603a9c0c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_5aed48f8484e9ad5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_5aed48f8484e9ad5","compl_f82fb710761c7827","ac2_8c330b5e730093e2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_fbb8d804260a14ff","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_fbb8d804260a14ff","compl_f3e58d9baa241ffd","ac2_c222545e53b0a4d1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_49d7812d75850626","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_49d7812d75850626","compl_3a285a201a2ebf75","ac2_38b72a1118782623","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_f698d558746cf600","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_f698d558746cf600","compl_e04165374ed1fd41","ac2_ab0d23ed8684312c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_7a96c3c828f7f857","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_7a96c3c828f7f857","compl_549b5708a38c4eba","ac2_cbd3f7bb9df4999e","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_44d11d1938468a8a","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_44d11d1938468a8a","compl_825e920ae16840de","ac2_f5ce64118792ca29","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_33f7408df8d076cc","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_33f7408df8d076cc","compl_825e920ae16840de","ac2_f5ce64118792ca29","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_2c97f29acb7aa766","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_2c97f29acb7aa766","compl_825e920ae16840de","ac2_f5ce64118792ca29","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_4295e2ae2f1f420f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_4295e2ae2f1f420f","compl_825e920ae16840de","ac2_f5ce64118792ca29","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_8da5ccce1e095b3f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_8da5ccce1e095b3f","compl_dd60aa021dd63a28","ac2_14fbc38fbbe6b8f1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
