"definition","complex_id","source_records","region","regions","statistical_areas","sections","location_codes","methods","temporal_span_days","spatial_bbox_diameter_km","any_reversed_date","any_uncertain_date","generalized_easting_10km","generalized_northing_10km","crosses_region","crosses_statistical_area","crosses_section","crosses_location_code","mixed_method","temporal_review","spatial_review","review_required","review_reason","support_label"
"complex_1km_3d","hsr_6e917791e123dd60",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,830,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_61e2fac20c5bb105",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_3febe5d8491a95d3",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_2f727adc5f81d28a",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_3ec4089517a07e31",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_8deeaa72d3aa8bc3",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_05b0f0700e1c844b",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_896e56a86da4e427",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_bdd106380917b9a4",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_268c9c5ada593c26",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_1221fa9f61ae9b46",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
