"analysis_taxon_id_1","common_name_1","analysis_taxon_id_2","common_name_2","species_1_detections","species_2_detections","n11","shared_events","n10","n01","n00","suppressed_below_20","record_type","exposure_specific_association_computed","eligible_checklists","richness_q0","richness_q25","richness_q50","richness_q75","richness_q100","support_label"
"atx_3083477933a8","White-winged Scoter","atx_35707a9578d5","Pelagic Cormorant",7320,24918,3550,1734,3770,21368,233651,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_98ca0000b734","Brandt's Cormorant",7320,4674,1438,1407,5882,3236,251783,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_a444854c6b66","Double-crested Cormorant",7320,35338,2753,1612,4567,32585,222434,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_fc0a9b777dcd","Bald Eagle",7320,105279,5165,1966,2155,100114,154905,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_7b80ddaff058","Great Blue Heron",7320,58327,2255,1720,5065,56072,198947,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_c9db024faf12","American Crow",7320,138838,4543,1908,2777,134295,120724,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_c12b832d2b03","California Gull",7320,9499,2017,1588,5303,7482,247537,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_7571c026ae99","American Herring Gull",7320,3040,791,1351,6529,2249,252770,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_5a9a3495d0ea","Western Gull",7320,1170,241,957,7079,929,254090,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_aa5353f6d6d2","Iceland Gull",7320,2238,496,663,6824,1742,253277,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_fadb8da1a816","Bonaparte's Gull",7320,5141,852,1375,6468,4289,250730,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_08bb40b40c0a","Ring-billed Gull",7320,5994,383,1027,6937,5611,249408,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_1812dd827ede","Surfbird",7320,1473,243,964,7077,1230,253789,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_15dd5efcd8d6","Black Turnstone",7320,5859,1250,1446,6070,4609,250410,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_b3d3ea90f9cb","Canada Goose",7320,81438,2208,1757,5112,79230,175789,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_815c98107028","Mallard",7320,99307,3306,1733,4014,96001,159018,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_a113baee5693","American Wigeon",7320,43079,2575,1556,4745,40504,214515,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_7d980a7c8c37","Northern Pintail",7320,18912,1338,1263,5982,17574,237445,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_8608f2ed61cf","Pigeon Guillemot",7320,9026,1983,1630,5337,7043,247976,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_6cbe5bbd310c","Rhinoceros Auklet",7320,3044,897,1270,6423,2147,252872,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_136b0e66254b","Common Murre",7320,3322,1314,1384,6006,2008,253011,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_acf526bb8010","Marbled Murrelet",7320,5279,1484,1586,5836,3795,251224,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_eeefc021901e","Gadwall",7320,17150,276,924,7044,16874,238145,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_8f0345249398","Northern Shoveler",7320,13853,264,1021,7056,13589,241430,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_04afbeb21fb0","Hooded Merganser",7320,24754,529,1480,6791,24225,230794,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_3c2dd2107fbb","Clark's Grebe",7320,4,,,7318,2,255017,TRUE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_v2_000001","Eared Grebe",7320,437,103,324,7217,334,254685,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_v2_000002","Black Oystercatcher",7320,18476,2497,1560,4823,15979,239040,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_v2_000003","Dunlin",7320,8961,1352,1408,5968,7609,247410,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_v2_000004","Sanderling",7320,1186,208,668,7112,978,254041,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","atx_v2_000005","Rock Sandpiper",7320,201,57,294,7263,144,254875,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
