effort_frame,period_id,region,event_time_stratum,distance_stratum,independent_events,herring_source_events,unique_observer_clusters,unique_generalized_locations,suppressed_below_20
high_spatial_precision,complete_1988_2025,PRD,post,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,post,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,PRD,post,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,PRD,post,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,PRD,post,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,PRD,post,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,post,ring_5_10,105,55,28,40,false
high_spatial_precision,complete_1988_2025,PRD,post,ring_10_20,604,198,59,99,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_0_0p5,451,150,265,111,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_0p5_1,643,195,288,168,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_1_2,1503,365,544,399,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_2_3,1772,362,553,464,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_3_4,2161,384,664,523,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_4_5,2497,426,762,560,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_5_10,9682,771,1976,2393,false
high_spatial_precision,complete_1988_2025,SoG,early_pre,ring_10_20,15277,848,3185,3621,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_0_0p5,915,227,436,155,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_0p5_1,1397,291,538,307,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_1_2,3061,476,971,630,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_2_3,3477,495,941,804,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_3_4,4418,517,1191,845,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_4_5,4813,551,1278,902,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_5_10,17338,936,3225,3423,false
high_spatial_precision,complete_1988_2025,SoG,immediate_pre,ring_10_20,27245,1037,4873,4979,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_0_0p5,198,97,135,61,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_0p5_1,306,142,171,82,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_1_2,652,262,310,205,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_2_3,672,244,300,249,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_3_4,816,268,346,255,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_4_5,957,292,449,298,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_5_10,3491,621,1033,1148,false
high_spatial_precision,complete_1988_2025,SoG,spawn_start,ring_10_20,5740,747,1590,1667,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_0_0p5,450,163,254,110,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_0p5_1,631,194,326,151,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_1_2,1558,354,595,384,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_2_3,1592,348,566,459,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_3_4,2073,372,721,483,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_4_5,2199,407,770,517,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_5_10,8337,761,1984,2031,false
high_spatial_precision,complete_1988_2025,SoG,early_egg,ring_10_20,13752,935,2989,2891,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_0_0p5,441,164,251,103,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_0p5_1,671,224,322,167,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_1_2,1761,389,650,441,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_2_3,1969,376,639,504,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_3_4,2484,426,754,527,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_4_5,3023,460,905,638,false
high_spatial_precision,complete_1988_2025,SoG,late_egg,ring_5_10,10481,854,2331,2409,false
